date,sentiment_mean,sentiment_std,post_count,sentiment_net,sentiment_diff,sentiment_activity
2021-04-25,0.63384914,0.40234742,11,7,1.5753738,11
2021-04-26,0.27299267,0.6345776,51,25,0.4301952,51
2021-04-27,0.38456497,0.5201221,50,32,0.73937297,50
2021-04-28,0.11837092,0.6608353,85,27,0.1791229,85
2021-04-29,-0.0037828581,0.62820804,100,18,-0.0060216547,100
2021-04-30,0.2250895,0.48474026,61,41,0.46434978,61
2021-05-01,0.4957213,0.4983658,65,41,0.99469167,65
2021-05-02,0.46944422,0.4281482,14,12,1.09645,14
2021-05-03,0.48159912,0.44805446,50,38,1.074865,50
2021-05-04,0.25362423,0.51502347,33,17,0.49245083,33
2021-05-05,0.19316192,0.5874469,28,4,0.32881537,28
2021-05-06,0.46461168,0.4296098,28,22,1.0814711,28
2021-05-07,0.42961332,0.49539945,27,15,0.8672041,27
2021-05-08,0.30632728,0.49530035,7,1,0.61846644,7
2021-05-09,0.026669264,0.5352538,5,1,0.04982536,5
2021-05-10,0.32321596,0.37899998,18,12,0.8528103,18
2021-05-11,0.19356406,0.5299962,31,9,0.36521712,31
2021-05-12,0.28841996,0.50458735,29,19,0.57159454,29
2021-05-13,0.073031045,0.55558544,15,5,0.13144857,15
2021-05-14,0.2546199,0.6078736,28,14,0.4188691,28
2021-05-15,0.755212,0.28757644,7,7,2.626117,7
2021-05-16,0.51934797,0.22333385,4,4,2.3254228,4
2021-05-17,0.38231525,0.57221246,44,28,0.668134,44
2021-05-18,0.5115049,0.40871322,33,21,1.2514976,33
2021-05-19,0.46035802,0.41362494,32,20,1.1129814,32
2021-05-20,0.44383445,0.54193825,27,19,0.81897455,27
2021-05-21,0.45319775,0.44869816,43,31,1.0100259,43
2021-05-22,0.49843264,0.5879831,6,2,0.8476975,6
2021-05-23,0.8950855,0.027864715,2,2,32.12139,2
2021-05-24,0.32101706,0.46705848,31,23,0.6873151,31
2021-05-25,0.52178764,0.36686325,27,21,1.4222907,27
2021-05-26,0.28384307,0.6959806,27,13,0.40783128,27
2021-05-27,0.31393033,0.46931088,17,9,0.6689162,17
2021-05-28,0.4760941,0.44643667,36,30,1.066429,36
2021-05-30,0.2881516,0.65642333,4,0,0.43897152,4
2021-05-31,-0.056420587,0.5753544,5,1,-0.09806215,5
2021-06-01,0.3461722,0.40255553,18,12,0.8599344,18
2021-06-02,0.30995288,0.4805595,38,22,0.64498204,38
2021-06-03,0.23447303,0.63135755,15,7,0.37137857,15
2021-06-04,0.48097527,0.44378838,37,29,1.0837917,37
2021-06-05,0.18321805,0.5544436,4,0,0.3304533,4
2021-06-06,0.5130268,0.3663129,7,7,1.4005114,7
2021-06-07,0.44810778,0.4858588,69,45,0.9222985,69
2021-06-08,0.22039394,0.6318212,38,10,0.3488227,38
2021-06-09,0.36707586,0.5576632,27,13,0.6582382,27
2021-06-10,0.610223,0.41861176,25,23,1.4577266,25
2021-06-11,0.5972593,0.34471184,33,31,1.7326285,33
2021-06-12,0.5723642,0.4197804,6,6,1.3634815,6
2021-06-13,0.46605602,0.3723587,9,5,1.2516284,9
2021-06-14,0.4121851,0.503855,33,23,0.8180613,33
2021-06-15,0.5547358,0.4005929,37,31,1.3847834,37
2021-06-16,0.5090725,0.37827075,36,34,1.345785,36
2021-06-17,0.27636072,0.5774782,20,12,0.47856396,20
2021-06-18,0.21047844,0.6429604,29,9,0.3273578,29
2021-06-19,-0.8536205,0.0,2,-2,-853620.56,2
2021-06-20,0.71924347,0.16015223,6,6,4.490971,6
2021-06-21,0.44712707,0.49473226,41,27,0.903774,41
2021-06-22,0.3724208,0.46219903,39,29,0.8057567,39
2021-06-23,0.2983468,0.62585014,33,15,0.47670567,33
2021-06-24,0.4109926,0.5548922,44,24,0.7406697,44
2021-06-25,0.49359494,0.60352325,17,11,0.81785434,17
2021-06-26,0.30311263,0.66939765,9,5,0.4528133,9
2021-06-27,0.50448394,0.7079629,6,4,0.71258426,6
2021-06-28,0.53597784,0.48917493,25,15,1.095675,25
2021-06-29,0.28251076,0.65387547,36,20,0.43205523,36
2021-06-30,0.31456703,0.52250105,35,19,0.60203975,35
2021-07-01,0.10585596,0.6226715,31,5,0.17000262,31
2021-07-02,0.3206931,0.5758812,20,8,0.5568728,20
2021-07-03,0.18617159,0.45147318,4,0,0.41236377,4
2021-07-04,0.34945595,0.45029676,2,2,0.7760553,2
2021-07-05,0.45736676,0.50277555,8,4,0.909682,8
2021-07-06,0.12864321,0.6185626,24,6,0.20797089,24
2021-07-07,0.04158933,0.5529377,32,6,0.07521509,32
2021-07-08,0.15110527,0.53963876,20,8,0.28001136,20
2021-07-09,0.50173366,0.5237143,25,19,0.9580275,25
2021-07-10,0.3827335,0.5266989,7,1,0.7266633,7
2021-07-11,0.7216792,0.21523388,3,3,3.3529844,3
2021-07-12,0.32779375,0.5699519,21,11,0.57512426,21
2021-07-13,0.29236275,0.50649637,28,14,0.5772246,28
2021-07-14,0.041617714,0.63016665,58,8,0.06604229,58
2021-07-15,0.025284402,0.6814329,30,2,0.0371047,30
2021-07-16,0.20518187,0.6366521,29,11,0.32228205,29
2021-07-17,0.7825266,0.1345212,4,4,5.8170815,4
2021-07-18,0.8005605,0.064026326,3,3,12.503419,3
2021-07-19,0.1896898,0.6151121,14,8,0.30838197,14
2021-07-20,0.07533346,0.6735637,35,9,0.111842945,35
2021-07-21,0.20590879,0.61987275,22,10,0.3321786,22
2021-07-22,0.15609284,0.71259755,29,7,0.21904737,29
2021-07-23,0.43320736,0.58487,25,13,0.74068874,25
2021-07-24,0.75597304,0.24209478,4,4,3.1226196,4
2021-07-25,0.6941165,0.31864563,7,7,2.1783266,7
2021-07-26,0.21866645,0.59024394,38,14,0.3704673,38
2021-07-27,0.06040371,0.5947553,56,18,0.101560436,56
2021-07-28,0.17819676,0.570566,85,37,0.31231523,85
2021-07-29,-0.046432186,0.5960928,30,0,-0.07789409,30
2021-07-30,0.51477873,0.38085297,29,25,1.3516433,29
2021-07-31,0.35300922,0.6077795,8,6,0.5808169,8
2021-08-01,0.79549694,0.1276844,5,5,6.2301326,5
2021-08-02,0.3199048,0.55629647,19,11,0.57506067,19
2021-08-03,0.20707507,0.68718475,22,4,0.30133784,22
2021-08-04,0.15498938,0.66814536,14,0,0.2319692,14
2021-08-05,0.46944377,0.39441487,26,22,1.1902254,26
2021-08-06,0.4380238,0.45062453,34,28,0.97203505,34
2021-08-07,0.25874096,0.71462876,11,5,0.36206296,11
2021-08-08,0.8545783,0.040252402,3,3,21.229965,3
2021-08-09,0.632751,0.31659687,11,9,1.9985951,11
2021-08-10,0.32497934,0.5427718,21,11,0.59873915,21
2021-08-11,0.11527333,0.63722944,22,6,0.18089738,22
2021-08-12,0.07330115,0.6741956,21,3,0.1087237,21
2021-08-13,0.48216033,0.4176743,25,17,1.1543903,25
2021-08-14,0.38539925,0.59505725,10,6,0.6476664,10
2021-08-15,0.30754963,0.7721406,4,2,0.39830726,4
2021-08-16,0.091502026,0.45920402,20,6,0.19926181,20
2021-08-17,0.3957957,0.54984635,22,12,0.7198283,22
2021-08-18,0.1870493,0.5705716,17,7,0.32782733,17
2021-08-19,0.27633446,0.5806196,26,14,0.4759295,26
2021-08-20,0.27115533,0.49023136,26,10,0.5531159,26
2021-08-21,0.8397476,0.113691635,5,5,7.3861213,5
2021-08-22,0.85108024,0.09166004,2,2,9.285082,2
2021-08-23,0.44652778,0.7059016,15,9,0.6325628,15
2021-08-24,0.38289452,0.4705155,20,14,0.8137749,20
2021-08-25,0.37753072,0.5507527,26,12,0.6854801,26
2021-08-26,-0.08381803,0.7022501,13,1,-0.11935621,13
2021-08-27,0.4140137,0.558374,31,19,0.74146175,31
2021-08-28,0.7420588,0.24554229,4,4,3.02211,4
2021-08-29,-0.07465736,0.0,1,-1,-74657.36,1
2021-08-30,0.37406173,0.5406245,35,19,0.69190544,35
2021-08-31,0.3156928,0.43632302,37,25,0.7235284,37
2021-09-01,0.3719694,0.54882354,31,17,0.6777565,31
2021-09-02,0.21346423,0.53663087,42,26,0.39778522,42
2021-09-03,0.20452482,0.56112695,17,11,0.36448872,17
2021-09-04,0.34212074,0.49168518,3,3,0.69581115,3
2021-09-05,0.6679213,0.16497351,2,2,4.0486336,2
2021-09-06,0.7334683,0.16128881,3,3,4.547518,3
2021-09-07,0.30925602,0.64653265,38,12,0.47832933,38
2021-09-08,0.24331598,0.6253283,31,11,0.38910055,31
2021-09-09,0.4137094,0.50501215,23,15,0.81920516,23
2021-09-10,0.24429885,0.48073506,69,45,0.5081766,69
2021-09-11,0.31454203,0.728568,8,4,0.43172577,8
2021-09-12,0.2948095,0.40237704,14,10,0.7326679,14
2021-09-13,0.14737707,0.5367398,50,16,0.2745777,50
2021-09-14,0.23045684,0.55917215,107,35,0.4121386,107
2021-09-15,0.375515,0.5342469,46,24,0.70288527,46
2021-09-16,0.42152113,0.4943135,26,16,0.85273874,26
2021-09-17,0.44380337,0.40469962,29,25,1.0966214,29
2021-09-18,0.481891,0.37378544,5,5,1.2892147,5
2021-09-19,0.7294726,0.21011956,5,5,3.471686,5
2021-09-20,0.16439573,0.52890027,36,14,0.310825,36
2021-09-21,0.50020736,0.5228489,27,15,0.95669395,27
2021-09-22,0.28122756,0.4396312,32,20,0.63968825,32
2021-09-23,0.2508937,0.42159382,40,20,0.59510624,40
2021-09-24,0.40124828,0.6628247,10,6,0.60536015,10
2021-09-25,0.22681646,0.86255676,6,2,0.262958,6
2021-09-26,0.80821407,0.08828355,4,4,9.154649,4
2021-09-27,0.26895833,0.4522479,20,14,0.5947131,20
2021-09-28,0.28228486,0.5664836,25,11,0.49830982,25
2021-09-29,0.25603986,0.5932554,21,11,0.4315838,21
2021-09-30,0.4074821,0.42976615,14,10,0.94814616,14
2021-10-01,0.32524195,0.5711805,19,9,0.56941956,19
2021-10-02,0.36919594,0.6201156,6,4,0.59536535,6
2021-10-03,0.6079935,0.41131374,7,7,1.4781709,7
2021-10-04,0.2583322,0.49421307,28,16,0.5227131,28
2021-10-05,0.31405267,0.59530264,33,17,0.5275504,33
2021-10-06,0.44547057,0.40535805,17,13,1.098953,17
2021-10-07,0.21358791,0.6106779,19,5,0.34975484,19
2021-10-08,0.35022193,0.5877621,20,10,0.5958556,20
2021-10-09,0.43170005,0.4313354,5,3,1.000843,5
2021-10-10,0.67336774,0.20548953,2,2,3.2768798,2
2021-10-11,0.47727677,0.44531938,16,12,1.0717604,16
2021-10-12,0.41040695,0.43390548,33,29,0.9458419,33
2021-10-13,0.21622682,0.45901573,52,30,0.4710652,52
2021-10-14,0.32589328,0.6358683,31,15,0.51251614,31
